%    atsl_version	                 1.0
%         rectime	             300.000
%  ephys_filename	 2006_10_02_0000.abf
%      ephys_chan	          IN 0 extra
%    ev_threshold	            -0.05423
% burst_interval1	              100.00
% burst_interval2	              500.00
%     burst_minev	                   3
%   silentper_dur	             2000.00
% silentper_maxev	                   1
%    data_quality	                 NaN
%         comment	generated by burstdetguifunc
  69.8163        0
  69.8210        0
  69.8260        0
  69.8305        0
  69.8378        0
  69.8469        0
  69.8586        0
  69.8764        0
  69.9046        0
  69.9250        0
  69.9380        0
  69.9539        0
  69.9562        0
  69.9675        0
  69.9792        0
  69.9927        0
  70.0032        0
  70.0144        0
  70.0262        0
  70.0331        0
  70.0402        0
  70.0524        0
  70.0626        0
  70.0703        0
  70.0812        0
  70.0890        0
  70.1027        0
  70.1098        0
  70.1161        0
  70.1268        0
  70.1388        0
  70.1410        0
  70.1463        0
  70.1500        0
  70.1577        0
  70.1630        0
  70.1678        0
  70.1745        0
  70.1920        0
  70.2030        0
  70.2094        0
  70.2273        0
  70.2425        0
  70.2487        0
  70.2566        0
  70.2638        0
  70.2776        0
  70.2877        0
  70.2983        0
  70.3057        0
  70.3148        0
  70.3210        0
  70.4058        0
  70.4145        0
  70.4234        0
  70.4577        0
  70.4830        0
  70.5018        0
